""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	0.635613979315491	0.978	0.898	0	"0"	"RPS6"
"2"	0	0.581100573153932	0.991	0.971	0	"0"	"RPL21"
"3"	0	0.571554641949678	0.985	0.921	0	"0"	"RPS27A"
"4"	0	0.570915919521486	0.972	0.901	0	"0"	"RPS12"
"5"	0	0.556265755827702	0.998	0.99	0	"0"	"RPL34"
"6"	0	0.553822604004968	0.995	0.947	0	"0"	"RPS29"
"7"	0	0.521885392458672	0.999	0.99	0	"0"	"RPS27"
"8"	0	0.503345875844894	0.979	0.927	0	"0"	"RPS15A"
"9"	0	0.480698607745558	0.993	0.956	0	"0"	"RPL13"
"10"	0	0.478392580607729	0.992	0.953	0	"0"	"RPL32"
"11"	9.5980290880543e-278	0.491475713313348	0.966	0.882	2.60269754780769e-273	"0"	"RPL3"
"12"	8.6953340774379e-276	0.580483808432655	0.918	0.808	2.35791374177883e-271	"0"	"RPS25"
"13"	8.00902060357698e-235	0.511343844984274	0.929	0.838	2.17180611707197e-230	"0"	"RPL31"
"14"	1.15347619199317e-206	0.752868706593341	0.605	0.294	3.12788138982788e-202	"0"	"IL32"
"15"	3.88169459240809e-184	0.855230102301472	0.459	0.196	1.0525991226233e-179	"0"	"CD3D"
"16"	5.40749446552284e-180	0.491498910287883	0.873	0.758	1.46635027421583e-175	"0"	"RPL30"
"17"	2.35361486254697e-168	0.742679047212407	0.604	0.347	6.38229742276861e-164	"0"	"LTB"
"18"	4.740725039235e-159	0.49631490436946	0.85	0.732	1.28554240888936e-154	"0"	"RPS20"
"19"	1.41228064622152e-147	0.497280409451003	0.817	0.703	3.8296814283589e-143	"0"	"RPL9"
"20"	3.55307728265445e-141	0.981258917393828	0.338	0.139	9.63487966737407e-137	"0"	"TRAC"
"21"	5.82317116679024e-114	0.892308906209833	0.354	0.173	1.57906932529851e-109	"0"	"PCED1B-AS1"
"22"	8.57795486222452e-111	0.906499097897897	0.319	0.145	2.32608401998942e-106	"0"	"TRBC2"
"23"	1.02127206536606e-103	0.977241815351487	0.243	0.094	2.76938345965315e-99	"0"	"IL7R"
"24"	8.60115443017425e-73	0.728450876764343	0.384	0.252	2.33237504683035e-68	"0"	"LDHB"
"25"	1.17321983679643e-72	0.711471916116322	0.451	0.328	3.18142023144087e-68	"0"	"GAS5"
"26"	3.46101103244093e-72	0.777296387631877	0.295	0.16	9.38522361667007e-68	"0"	"GIMAP7"
"27"	4.62924297865462e-68	0.789788031662816	0.23	0.108	1.25531181852177e-63	"0"	"CD3E"
"28"	3.08357547522764e-66	0.76218152537025	0.223	0.104	8.36173161617479e-62	"0"	"CD3G"
"29"	9.51266630657078e-56	0.980454971247377	0.125	0.046	2.5795497223528e-51	"0"	"PRKCQ-AS1"
"30"	1.18525738295254e-48	0.862959886713904	0.112	0.041	3.21406244535241e-44	"0"	"LEF1"
"31"	2.99327387708067e-48	0.656590218484018	0.242	0.136	8.11686077247965e-44	"0"	"IFITM1"
"32"	2.77414587991726e-47	0.709385202364254	0.173	0.082	7.52265138257163e-43	"0"	"LINC00861"
"33"	4.16335812331129e-47	0.853163859980331	0.245	0.149	1.12897782229832e-42	"0"	"NOSIP"
"34"	5.68586835876166e-46	0.722165971478699	0.139	0.059	1.5418369228454e-41	"0"	"CD27"
"35"	3.04516505025068e-42	0.71783422652619	0.106	0.041	8.25757406676476e-38	"0"	"PIK3IP1"
"36"	2.31544920136014e-37	0.667156324229768	0.164	0.085	6.27880359932829e-33	"0"	"LCK"
"37"	1.72068260892562e-32	0.709892117825106	0.191	0.114	4.6659750306236e-28	"0"	"AAK1"
"38"	9.01107795992922e-29	0.584416301252581	0.132	0.068	2.44353401039401e-24	"0"	"ITM2A"
"39"	9.76664085765881e-28	0.57267152126665	0.281	0.206	2.64842000137134e-23	"0"	"EVL"
"40"	3.53507524476453e-25	0.662974506923211	0.123	0.066	9.58606354122799e-21	"0"	"BCL11B"
"41"	7.96094713917832e-25	0.573846874734846	0.176	0.109	2.15877003573099e-20	"0"	"ACAP1"
"42"	9.41614345936999e-25	0.704448232674449	0.119	0.064	2.55337562187736e-20	"0"	"TCF7"
"43"	1.47357398368672e-23	0.699061382760558	0.104	0.054	3.99589057156328e-19	"0"	"RCAN3"
"44"	3.23876173590796e-22	0.582998152990179	0.135	0.079	8.78255019926163e-18	"0"	"ETS1"
"45"	2.66671661486164e-21	0.520617722362927	0.217	0.153	7.23133544452032e-17	"0"	"TRAF3IP3"
"46"	5.21341948837269e-21	0.619712246704056	0.222	0.161	1.41372296266202e-16	"0"	"AES"
"47"	5.93321390251532e-21	0.49264671665673	0.142	0.084	1.60890961394508e-16	"0"	"CD7"
"48"	1.11044619790946e-16	0.58089874335252	0.237	0.187	3.01119695487108e-12	"0"	"SNHG8"
"49"	8.39707243785312e-16	0.639728797383682	0.18	0.132	2.27703413297263e-11	"0"	"LEPROTL1"
"50"	6.24954439524825e-09	0.545187113128936	0.161	0.129	0.000169468895365947	"0"	"SVIP"
"51"	0	2.13912757778178	0.968	0.195	0	"1"	"S100A9"
"52"	0	1.94468922081789	0.97	0.191	0	"1"	"S100A8"
"53"	0	1.89593479255285	0.969	0.189	0	"1"	"LYZ"
"54"	0	1.79781153213133	0.747	0.135	0	"1"	"RP11-1143G9.4"
"55"	0	1.77693349474858	0.944	0.208	0	"1"	"FOS"
"56"	0	1.63400889724046	0.558	0.07	0	"1"	"S100A12"
"57"	0	1.61974824829798	0.526	0.076	0	"1"	"VCAN"
"58"	0	1.59485128987987	0.711	0.128	0	"1"	"FCN1"
"59"	0	1.59198872396916	0.438	0.055	0	"1"	"LGALS2"
"60"	0	1.50016445757695	0.396	0.048	0	"1"	"MS4A6A"
"61"	0	1.46714858282155	0.954	0.258	0	"1"	"TYROBP"
"62"	0	1.43646611362541	0.367	0.04	0	"1"	"CD14"
"63"	0	1.43378891886067	0.362	0.055	0	"1"	"CSTA"
"64"	0	1.40689235930662	0.449	0.076	0	"1"	"MNDA"
"65"	0	1.37510762370699	0.884	0.239	0	"1"	"CST3"
"66"	0	1.34210469222448	0.557	0.16	0	"1"	"AP1S2"
"67"	0	1.28893769055911	0.847	0.286	0	"1"	"LGALS1"
"68"	0	1.27448927010547	0.6	0.147	0	"1"	"IFI30"
"69"	0	1.24901643099475	0.28	0.033	0	"1"	"CD36"
"70"	0	1.23030833473735	0.279	0.036	0	"1"	"CSF3R"
"71"	0	1.21414794036322	0.612	0.212	0	"1"	"GPX1"
"72"	0	1.20819803765855	0.675	0.2	0	"1"	"DUSP1"
"73"	0	1.12805572139585	0.894	0.234	0	"1"	"AIF1"
"74"	0	1.09627531980195	0.622	0.211	0	"1"	"SRGN"
"75"	0	1.09387128410592	0.786	0.21	0	"1"	"FCER1G"
"76"	0	1.08561904942158	0.645	0.225	0	"1"	"PSAP"
"77"	0	1.07314405976374	0.999	0.772	0	"1"	"FTL"
"78"	0	1.05934502902636	0.972	0.549	0	"1"	"S100A6"
"79"	0	1.05864173305722	0.591	0.192	0	"1"	"CTSS"
"80"	0	1.05293841044078	0.846	0.382	0	"1"	"NEAT1"
"81"	0	1.00318254540924	0.7	0.291	0	"1"	"S100A11"
"82"	0	0.994470380463137	0.994	0.722	0	"1"	"FTH1"
"83"	1.29494807663093e-307	1.08215503707446	0.404	0.096	3.51151069940008e-303	"1"	"SERPINA1"
"84"	3.5523365941279e-305	1.12909749201041	0.462	0.136	9.63287114229663e-301	"1"	"TYMP"
"85"	4.30198763977082e-275	1.14767562817008	0.393	0.106	1.16656998827665e-270	"1"	"CFD"
"86"	6.20584670965547e-257	1.19815003664821	0.303	0.064	1.68283945225728e-252	"1"	"CEBPD"
"87"	1.23554472810127e-240	1.03587549025738	0.302	0.066	3.35042663919222e-236	"1"	"CYBB"
"88"	3.43016654049217e-225	0.913719470471588	0.529	0.227	9.30158260785261e-221	"1"	"TSPO"
"89"	1.05181199982768e-209	0.989040191209197	0.429	0.16	2.85219859993271e-205	"1"	"SDCBP"
"90"	2.11198156292213e-208	1.01311761153148	0.261	0.056	5.72706040417594e-204	"1"	"FGL2"
"91"	7.66895554175057e-205	0.997693368951763	0.256	0.055	2.0795906742565e-200	"1"	"CLEC12A"
"92"	5.45671659449929e-195	0.993464200446801	0.236	0.048	1.47969783893037e-190	"1"	"CLEC7A"
"93"	8.64249498627925e-195	1.01144480914934	0.183	0.026	2.34358536542934e-190	"1"	"RBP7"
"94"	7.03809105918236e-183	1.01251659657012	0.329	0.106	1.90851915251848e-178	"1"	"FCGRT"
"95"	1.39540538351654e-179	1.09160250247961	0.323	0.109	3.78392077848179e-175	"1"	"GRN"
